Player,YR,Votes
Rudy Gobert,18,192
Anthony Davis,18,163
Victor Oladipo,18,136
Jrue Holiday,18,105
Robert Covington,18,90
Joel Embiid,18,90
Draymond Green,18,86
Al Horford,18,85
Dejounte Murray,18,80
Jimmy Butler,18,79
Kawhi Leonard,17,192
Draymond Green,17,198
Rudy Gobert,17,196
Patrick Beverly,17,110
Chris Paul,17,140
Tony Allen,17,80
Danny Green,17,68
Andre Roberson,17,53
Anthony Davis,17,58
Giannis Antetokounmpo,17,35
Kawhi Leonard,16,260
Draymond Green,16,251
DeAndre Jordan,16,137
Avery Bradley,16,149
Chris Paul,16,148
Paul Millsap,16,97
Paul George,16,48
Hassan Whiteside,16,126
Tony Allen,16,121
Jimmy Butler,16,62
Kawhi Leonard,15,242
Draymond Green,15,229
Tony Allen,15,207
DeAndre Jordan,15,187
Chris Paul,15,170
Anthony Davis,15,155
Jimmy Butler,15,132
Andrew Bogut,15,102
John Wall,15,67
Tim Duncan,15,64
Joakim Noah,14,223
Paul George,14,161
Chris Paul,14,156
Serge Ibaka,14,152
Andre Iguodala,14,148
LeBron James,14,134
Patrick Beverly,14,112
Jimmy Butler,14,103
Kawhi Leonard,14,89
Roy Hibbert,14,76
Tony Allen,13,53
Serge Ibaka,13,46
LeBron James,13,52
Chris Paul,13,37
Joakim Noah,13,24
Tyson Chandler,13,24
Avery Bradley,13,25
Mike Conley,13,19
Tim Duncan,13,20
Marc Gasol,13,12
Paul George,13,27
Tony Allen,12,33
Dwight Howard,12,41
Serge Ibaka,12,47
LeBron James,12,53
Chris Paul,12,35
Kobe Bryant,12,17
Tyson Chandler,12,36
Luol Deng,12,20
Kevin Garnett,12,26
Rajon Rondo,12,29
Kobe Bryant,11,33
Kevin Garnett,11,33
Dwight Howard,11,56
LeBron James,11,38
Rajon Rondo,11,39
Tony Allen,11,23
Tyson Chandler,11,17
Andre Iguodala,11,15
Joakim Noah,11,15
Chis Paul,11,18
Kobe Bryant,10,34
Dwight Howard,10,57
LeBron James,10,45
Rajon Rondo,10,50
Gerald Wallace,10,30
Tim Duncan,10,21
Thabo Sefolosha,10,14
Josh Smith,10,20
Anderson Varejao,10,15
Dwyane Wade,10,20
Kobe Bryant,9,53
Kevin Garnett,9,35
Dwight Howard,9,55
LeBron James,9,47
Chris Paul,9,36
Metta World Peace,9,22
Shane Battier,9,22
Tim Duncan,9,30
Rajon Rondo,9,23
Dwyane Wade,9,26
Bruce Bowen,8,36
Kobe Bryant,8,52
Marcus Camby,8,37
Tim Duncan,8,33
Kevin Garnett,8,52
Shane Battier,8,29
Raja Bell,8,18
Dwight Howard,8,25
Chris Paul,8,26
Tayshaun Prince,8,20
Raja Bell,7,25
Bruce Bowen,7,42
Kobe Bryant,7,32
Marcus Camby,7,34
Tim Duncan,7,36
Kevin Garnett,7,20
Kirk Hinrich,7,18
Jason Kidd,7,23
Tayshaun Prince,7,21
Ben Wallace,7,33
Metta World Peace,6,30
Bruce Bowen,6,55
Andrei Kirilenko,6,44
Kobe Bryant,6,28
Ben Wallace,6,54
Jason Kidd,6,28
Chauncey Billups,6,23
Marcus Camby,6,15
Tim Duncan,6,23
Kevin Garnett,6,18
Tayshaun Prince,6,13
Ben Wallace,5,51
Kevin Garnett,5,48
Bruce Bowen,5,48
Tim Duncan,5,39
Larry Hughes,5,22
Tayshaun Prince,5,21
Marcus Camby,5,21
Chauncey Billups,5,17
Andrei Kirilenko,5,17
Jason Kidd,5,16
Dwyane Wade,5,16